a,R
0.01,2.7786967824749723E-8
0.5357894736842106,2.7791337481237688E-8
1.0615789473684212,2.781272057521987E-8
1.5873684210526318,2.7849463877276085E-8
2.113157894736842,2.7902836583506147E-8
2.6389473684210527,2.797378988234214E-8
3.1647368421052633,2.8062186624236045E-8
3.690526315789474,2.816774971146131E-8
4.2163157894736845,2.8291748917097437E-8
4.742105263157895,2.8434447870762756E-8
5.267894736842106,2.8595678769371028E-8
5.793684210526316,2.877672192858643E-8
6.319473684210527,2.8973877017377227E-8
6.845263157894737,2.9193636177899987E-8
7.371052631578948,2.943379978146177E-8
7.8968421052631586,2.9695111116795257E-8
8.42263157894737,2.9978070291297206E-8
8.948421052631579,3.028546733293129E-8
9.47421052631579,3.061672398721578E-8
10.000000000000002,3.0974201140123785E-8
