a,R
0.01,2.77870430342517E-10
0.5357894736842106,2.7795395393335654E-10
1.0615789473684212,2.781986543596245E-10
1.5873684210526318,2.7860527552204074E-10
2.113157894736842,2.79175059049799E-10
2.6389473684210527,2.799097462297349E-10
3.1647368421052633,2.8081160043527467E-10
3.690526315789474,2.8188341980818653E-10
4.2163157894736845,2.8312856420997603E-10
4.742105263157895,2.845509894173187E-10
5.267894736842106,2.8615522564235946E-10
5.793684210526316,2.879466022328017E-10
6.319473684210527,2.899308152413761E-10
6.845263157894737,2.921146971864554E-10
7.371052631578948,2.9450564508296703E-10
7.8968421052631586,2.971119988342617E-10
8.42263157894737,2.9994304562025494E-10
8.948421052631579,3.0300913132431675E-10
9.47421052631579,3.063217324982716E-10
10.000000000000002,3.098935898199371E-10
